Title,Price,Location_Category,Link,Member
"Core i5 10th Gen (8GB RAM|500GB HDD) Computer (Full Set PC) 17"" - 24""","Rs 47,950","Colombo, Computers & Tablets",https://ikman.lk/en/ad/core-i5-10th-gen-8gb-ram500gb-hdd-computer-full-set-pc-17-24-for-sale-colombo,True
i7 11th Gen Latitude 5320 32GB DDR4 RAM FHD Screen,"Rs 109,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/i7-11th-gen-latitude-5320-32gb-ddr4-ram-fhd-screen-for-sale-colombo,True
hp ryzen 3 5300u laptop 8GB/500GB,"Rs 72,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/hp-ryzen-3-5300u-laptop-8gb-500gb-for-sale-colombo,True
Samsung Galaxy S10 Fe 12/256GB,"Rs 132,996","Colombo, Computers & Tablets",https://ikman.lk/en/ad/samsung-galaxy-s10-fe-12-256gb-for-sale-colombo-5,True
Lenovo IdeaPad 1 | Celeron N4120 4GB RAM 238GB SSD,"Rs 44,000","Galle, Computers & Tablets",https://ikman.lk/en/ad/lenovo-ideapad-1-celeron-n4120-4gb-ram-238gb-ssd-good-condition-for-sale-galle,False
Latitude 5430 i5 12th Gen 16GB DDR4 Backlit Keyboard Laptop,"Rs 115,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/latitude-5430-i5-12th-gen-16gb-ddr4-backlit-keyboard-laptop-for-sale-colombo,True
Thinkpad T480s i7 8th Gen 16GB RAM UHD 620 Graphics 8GB,"Rs 95,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/thinkpad-t480s-i7-8th-gen-16gb-ram-uhd-620-graphics-8gb-for-sale-colombo,True
I Pad Mini 7 128 Gb Cellular,"Rs 119,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/ipad-mini-7-128gb-cellular-for-sale-colombo,False
Asus Tuf Gaming F16 Fx608 Jmr – Intel Core I7-14650 Hx - Rtx 5060 8 Gb,"Rs 395,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/asus-tuf-gaming-f16-fx608jmr-intel-core-i7-14650hx-rtx-5060-8gb-for-sale-colombo,False
Dell Latitude 7320 i7 11th Gen 32GB RAM 512GB NVMe,"Rs 115,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/dell-latitude-7320-i7-11th-gen-32gb-ram-512gb-nvme-for-sale-colombo,True
Samsung Galaxy Tab S6 128GB,"Rs 80,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/samsung-galaxy-tab-s6-128-gb-6-gb-105-dual-camera-amoled-display-for-sale-colombo,False
Dell Latitude 5320 2 in 1 Touch Rotatable i5 11th Gen 16GB RAM,"Rs 99,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/dell-latitude-5320-2-in-1-touch-rotatable-i5-11th-gen-16gb-ram-for-sale-colombo,True
Apple MacBook Air M1 Laptop,"Rs 170,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/macbook-m1-for-sale-colombo-2,False
Acer Aspire E 15 I3 8th Generation Laptop,"Rs 35,000","Ampara, Computers & Tablets",https://ikman.lk/en/ad/i3-8th-generation-acer-laptop-for-sale-ampara,False
Dell i7 8th GEN Touch Laptop,"Rs 64,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/dell-i7-8th-gen-touch-laptop-for-sale-colombo-32,True
MSI Core Ultra 7 155h Laptop,"Rs 260,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/msi-core-ultra-7-155h-laptop-for-sale-colombo-14,True
Lenovo i5 13th GEN Laptop,"Rs 120,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/lenovo-i5-13th-gen-laptop-for-sale-colombo-254,True
Lenovo Thinkpad E570 Laptop,"Rs 65,000","Gampaha, Computers & Tablets",https://ikman.lk/en/ad/good-condition-for-sale-gampaha-1862,False
MacBook Air m4 2026 February stock,"Rs 289,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/macbook-air-m4-2026-february-stock-for-sale-colombo,True
I5 14 Gen Pc Gpu,"Rs 351,000","Kandy, Computers & Tablets",https://ikman.lk/en/ad/i5-14-gen-pc-gpu-for-sale-kandy,True
Dell i3 Laptop,"Rs 35,000","Batticaloa, Computers & Tablets",https://ikman.lk/en/ad/dell-i3-for-sale-batticaloa-4,False
DELL Chrome book,"Rs 17,990","Matara, Computers & Tablets",https://ikman.lk/en/ad/dell-chrome-book-for-sale-matara-1,True
Hp Core™ Ultra 5 125H 512GB SSD 8GB DDR5 New Laptop Brand,"Rs 178,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/hp-core-ultra-5-125h-512gb-ssd-8gb-ddr5-new-laptop-brand-for-sale-colombo,True
Hp Core™ Ultra 5 125H 512GB SSD 8GB DDR5 New Laptop Brand,"Rs 178,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/hp-core-ultra-5-125h-512gb-ssd-8gb-ddr5-new-laptop-brand-for-sale-colombo,True
Hp I3 Laptop,"Rs 18,000","Batticaloa, Computers & Tablets",https://ikman.lk/en/ad/good-condition-more-details-call-me-for-sale-batticaloa,False
Ryzen 5 Pro Elitebook 845 G8 16GB RAM DDR4 512GB SSD NVMe,"Rs 119,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/ryzen-5-pro-elitebook-845-g8-16gb-ram-ddr4-512gb-ssd-nvme-for-sale-colombo,True
Lenovo Thinkpad L14 Ryzen 3 Pro 4450U with Radeon 512MB VGA 16GB,"Rs 79,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/lenovo-thinkpad-l14-ryzen-3-pro-4450u-with-radeon-512mb-vga-16gb-for-sale-colombo,True
Dell Latitude 7490 i5 Laptop,"Rs 74,500","Jaffna, Computers & Tablets",https://ikman.lk/en/ad/dell-latitude-7490-i5-laptop-for-sale-jaffna,True
HP 13th Gen Laptop,"Rs 140,000","Gampaha, Computers & Tablets",https://ikman.lk/en/ad/hp-13th-gen-for-sale-gampaha,False
"Core i5 9th Gen (8GB RAM|500GB HDD) Computer (Full Set PC) 17"" - 24""","Rs 44,950","Gampaha, Computers & Tablets",https://ikman.lk/en/ad/core-i5-9th-gen-8gb-ram500gb-hdd-computer-full-set-pc-17-24-for-sale-gampaha,True
PROBOOK 640 G8 i5 11th Gen 16GB with Backlit Keyboard,"Rs 97,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/probook-640-g8-i5-11th-gen-16gb-with-backlit-keyboard-for-sale-colombo,True
"ASUS Vivobook CORE I5 13TH GEN 12GB RAM 256GB SSD 14"" BRAND NEW Laptop","Rs 157,900","Colombo, Computers & Tablets",https://ikman.lk/en/ad/asus-vivobook-core-i5-13th-gen-12gb-ram-256gb-ssd-14-brand-new-laptop-for-sale-colombo-41,True
"Core i5 10th Gen (8GB RAM|500GB HDD) Computer (Full Set PC) 17"" - 24""","Rs 47,950","Colombo, Computers & Tablets",https://ikman.lk/en/ad/core-i5-10th-gen-8gb-ram500gb-hdd-computer-full-set-pc-17-24-for-sale-colombo,True
i7 11th Gen Latitude 5320 32GB DDR4 RAM FHD Screen,"Rs 109,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/i7-11th-gen-latitude-5320-32gb-ddr4-ram-fhd-screen-for-sale-colombo,True
hp ryzen 3 5300u laptop 8GB/500GB,"Rs 72,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/hp-ryzen-3-5300u-laptop-8gb-500gb-for-sale-colombo,True
Samsung Galaxy S10 Fe 12/256GB,"Rs 132,996","Colombo, Computers & Tablets",https://ikman.lk/en/ad/samsung-galaxy-s10-fe-12-256gb-for-sale-colombo-5,True
Lenovo IdeaPad 1 | Celeron N4120 4GB RAM 238GB SSD,"Rs 44,000","Galle, Computers & Tablets",https://ikman.lk/en/ad/lenovo-ideapad-1-celeron-n4120-4gb-ram-238gb-ssd-good-condition-for-sale-galle,False
Latitude 5430 i5 12th Gen 16GB DDR4 Backlit Keyboard Laptop,"Rs 115,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/latitude-5430-i5-12th-gen-16gb-ddr4-backlit-keyboard-laptop-for-sale-colombo,True
Thinkpad T480s i7 8th Gen 16GB RAM UHD 620 Graphics 8GB,"Rs 95,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/thinkpad-t480s-i7-8th-gen-16gb-ram-uhd-620-graphics-8gb-for-sale-colombo,True
I Pad Mini 7 128 Gb Cellular,"Rs 119,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/ipad-mini-7-128gb-cellular-for-sale-colombo,False
Asus Tuf Gaming F16 Fx608 Jmr – Intel Core I7-14650 Hx - Rtx 5060 8 Gb,"Rs 395,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/asus-tuf-gaming-f16-fx608jmr-intel-core-i7-14650hx-rtx-5060-8gb-for-sale-colombo,False
Dell Latitude 7320 i7 11th Gen 32GB RAM 512GB NVMe,"Rs 115,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/dell-latitude-7320-i7-11th-gen-32gb-ram-512gb-nvme-for-sale-colombo,True
Samsung Galaxy Tab S6 128GB,"Rs 80,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/samsung-galaxy-tab-s6-128-gb-6-gb-105-dual-camera-amoled-display-for-sale-colombo,False
Dell Latitude 5320 2 in 1 Touch Rotatable i5 11th Gen 16GB RAM,"Rs 99,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/dell-latitude-5320-2-in-1-touch-rotatable-i5-11th-gen-16gb-ram-for-sale-colombo,True
Apple MacBook Air M1 Laptop,"Rs 170,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/macbook-m1-for-sale-colombo-2,False
Acer Aspire E 15 I3 8th Generation Laptop,"Rs 35,000","Ampara, Computers & Tablets",https://ikman.lk/en/ad/i3-8th-generation-acer-laptop-for-sale-ampara,False
Dell i7 8th GEN Touch Laptop,"Rs 64,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/dell-i7-8th-gen-touch-laptop-for-sale-colombo-32,True
MSI Core Ultra 7 155h Laptop,"Rs 260,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/msi-core-ultra-7-155h-laptop-for-sale-colombo-14,True
Lenovo i5 13th GEN Laptop,"Rs 120,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/lenovo-i5-13th-gen-laptop-for-sale-colombo-254,True
Dell Latitude 3410 Core i5–10th Gen 8GB RAM 256GB SSD Laptop,"Rs 75,000","Gampaha, Computers & Tablets",https://ikman.lk/en/ad/dell-latitude-3410-core-i5-10th-gen-8gb-ram-256gb-ssd-laptop-for-sale-gampaha,True
